source_row,split,sentence1,sentence2,similarity,sentence1_original,sentence1_id,sentence1_token_length,sentence1_tokens_removed,sentence2_original,sentence2_id,sentence2_token_length,sentence2_tokens_removed,baseline_similarity
29,search,several different ways have been developed of calculating these values ( also known as term weights ) .,ukraine will not give ' an inch ' over crimea,0.5099888,several different ways have been developed of calculating these values ( also known as term weights ) .,4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,22,0,ukraine will not give ' an inch ' over crimea,ac3f64d5b913f4825dfb60b54463f787a971562e220c3430946c6416a81e675c,16,0,0.50998867
30,test,No motorcycle racer is riding a red and black bike,serve as a reason or cause or justification of .,0.51035184,No motorcycle racer is riding a red and black bike,827fdfc9df71143396a8f033fd314a27f286cb6c94d18ed9f6d74dca60c4ccfa,12,0,serve as a reason or cause or justification of .,5033ac81ed04c08605564e71948a891c3ce80f4914f09c2842f735e5f4a52a8f,13,0,0.5103519
33,search,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",There is no person riding a jetski in the waves,0.51185894,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",ef976f2b7592e20ca34992114bb94a8dc3a83ba33a9f51d17d2616fd196a4954,20,0,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,0.5118589
34,validation,There is no kitten drinking milk,the basic idea is to represent each document as a vector of certain weighted word frequencies .,0.5122227,There is no kitten drinking milk,5865f289ba8d06c9d93bcb24770c728d6c31468edeb469f5a2855d42d3735796,6,0,the basic idea is to represent each document as a vector of certain weighted word frequencies .,bed63a7f5f86896a7e3297c50873070d8c407be0b874852acc8893d72fce2166,21,0,0.51222277
37,search,There is no person riding a jetski in the waves,"impose , involve , or imply as a necessary accompaniment or result .",0.51366645,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,"impose , involve , or imply as a necessary accompaniment or result .",b7b8ffd43d87b89a0251c300085ef25775b0c9bde7116fa574f97f3b27d3a1ae,19,0,0.5136665
38,validation,This answer is based on my experience teaching undergraduate math in the US.,There is no kitten drinking milk,0.51394653,This answer is based on my experience teaching undergraduate math in the US.,02eefe7a2ab0de5b40d5eea17184f3a4d1d0eafd8cbdc50674898a463274b370,15,0,There is no kitten drinking milk,5865f289ba8d06c9d93bcb24770c728d6c31468edeb469f5a2855d42d3735796,6,0,0.51394653
39,test,serve as a reason or cause or justification of .,There are no people driving ATVs,0.51508474,serve as a reason or cause or justification of .,5033ac81ed04c08605564e71948a891c3ce80f4914f09c2842f735e5f4a52a8f,13,0,There are no people driving ATVs,5474167e39ef3edb0b6822c175abf85cb7b9213e482da31bd35c98f24b055b0b,8,0,0.51508486
43,search,There is no man putting some cheese on a pizza,several different ways have been developed of calculating these values ( also known as term weights ) .,0.51651466,There is no man putting some cheese on a pizza,a765ff509c4b4d6bcebe2004f0e8a02d3b8e644a2d99d13e4706c7df74d306d6,12,0,several different ways have been developed of calculating these values ( also known as term weights ) .,4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,22,0,0.5165148
46,test,No motorcycle racer is riding a red and black bike,"commodity expanded value-form , .",0.5173871,No motorcycle racer is riding a red and black bike,827fdfc9df71143396a8f033fd314a27f286cb6c94d18ed9f6d74dca60c4ccfa,12,0,"commodity expanded value-form , .",3d89387c49c08193aa5fc3ffeb676b52a2852b8c39037ba33bb63e91e46f390d,9,0,0.5173871
51,search,"several different ways of computing these values , also known as ( term ) weights , have been developed .",ukraine will not give ' an inch ' over crimea,0.51809394,"several different ways of computing these values , also known as ( term ) weights , have been developed .",0dabfc6a5de663ac63cf8964d79e66ce92918b9db0a2ab7f7cfdda14963c998c,25,0,ukraine will not give ' an inch ' over crimea,ac3f64d5b913f4825dfb60b54463f787a971562e220c3430946c6416a81e675c,16,0,0.51809394
52,test,one of the most well studied facets of temperament is how people respond to novelty .,There are no people driving ATVs,0.51817226,one of the most well studied facets of temperament is how people respond to novelty .,09ef49721a2145e748d917db1d1cf0b4a2bee79e674dd7571c54e98951ec7079,18,0,There are no people driving ATVs,5474167e39ef3edb0b6822c175abf85cb7b9213e482da31bd35c98f24b055b0b,8,0,0.51817226
56,search,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A boy is eating a cupcake,0.51866144,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",ef976f2b7592e20ca34992114bb94a8dc3a83ba33a9f51d17d2616fd196a4954,20,0,A boy is eating a cupcake,266b191642fefe7be3fc209e80a0f8005f9d95105cb0f4e2f584deca33065bca,7,0,0.5186615
58,search,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",There is no brown dog standing in the water,0.5187851,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",8c057f7f49d181495afff086841017e624eb2ddbf1aa8f2a671d517ff10cf590,41,0,There is no brown dog standing in the water,322d6641e41976d436a4ca6f4902a73a1f736bf9042da8f47214b4029e070b2c,9,0,0.5187851
65,validation,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",There is no water being drunk by a cat,0.52029145,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",fbddaa7ecee16fca36c7a9b1dc1653774ac15cc970574fcf049cc228adb01b99,25,0,There is no water being drunk by a cat,37deb92e4cde7cfecfe23de08dd1c32b3f1460d94a5a811c137b27346ee86d18,10,0,0.5202914
69,search,several different ways have been developed of calculating these values ( also known as term weights ) .,There is no brown dog standing in the water,0.5207963,several different ways have been developed of calculating these values ( also known as term weights ) .,4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,22,0,There is no brown dog standing in the water,322d6641e41976d436a4ca6f4902a73a1f736bf9042da8f47214b4029e070b2c,9,0,0.5207964
71,search,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",terminal 1 and terminal 2 possess no difference,0.520999,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",ef976f2b7592e20ca34992114bb94a8dc3a83ba33a9f51d17d2616fd196a4954,20,0,terminal 1 and terminal 2 possess no difference,ee9380e1f4b4acb9b0f9ebdec5c7a24eb2d8c21652afe85eb978e38b3054bfe0,8,0,0.520999
74,test,"after all , they have recommended policies that politicians or taking into consideration .",There is no woman using a sewing machine,0.5217466,"after all , they have recommended policies that politicians or taking into consideration .",2579ce20401c8f7356cafa7f5c532382fd778342426e16445915a4e74d0f5891,16,0,There is no woman using a sewing machine,e6b0ed131046de9085670584ce21fcadc3d7214f2023ae391a2ef18879390dfe,9,0,0.52174664
76,search,There is no person riding a jetski in the waves,"In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice.",0.5220768,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,"In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice.",c213d770d9702273acf94402e5603380201e463151d972c565f247f1ef407ea1,28,0,0.52207685
77,search,"several different ways of computing these values , also known as ( term ) weights , have been developed .",There is no girl brushing her hair,0.52209204,"several different ways of computing these values , also known as ( term ) weights , have been developed .",0dabfc6a5de663ac63cf8964d79e66ce92918b9db0a2ab7f7cfdda14963c998c,25,0,There is no girl brushing her hair,0f080b59b66c20dfccac7391eab1122625e660475a72095312b67bfa95fb7185,8,0,0.522092
80,search,A baby elephant is not eating a small tree,several different ways have been developed of calculating these values ( also known as term weights ) .,0.52292216,A baby elephant is not eating a small tree,7cdba18a745ce31b54a782cfa1109a8f67cc8fa83e33f7e2116ddf9fd727e16e,10,0,several different ways have been developed of calculating these values ( also known as term weights ) .,4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,22,0,0.52292216
87,test,the man is feeding a mouse to the snake .,There are no people driving ATVs,0.5244806,the man is feeding a mouse to the snake .,2cef322e85e10384cb4b601dce8f80460a8d5b570b3359e9f8c20430aaa94a0c,12,0,There are no people driving ATVs,5474167e39ef3edb0b6822c175abf85cb7b9213e482da31bd35c98f24b055b0b,8,0,0.5244805
89,test,No motorcycle racer is riding a red and black bike,it was first used in the smart information retrieval system .,0.52543503,No motorcycle racer is riding a red and black bike,827fdfc9df71143396a8f033fd314a27f286cb6c94d18ed9f6d74dca60c4ccfa,12,0,it was first used in the smart information retrieval system .,b96fc03e1ac8c12d1d0503169afb30f3882fc4339938df172e2fe56437e8e486,13,0,0.5254351
90,search,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",Two dogs are playing on a sandy beach,0.52625895,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",ef976f2b7592e20ca34992114bb94a8dc3a83ba33a9f51d17d2616fd196a4954,20,0,Two dogs are playing on a sandy beach,10f6f3a731d5329ab9f1e52f3496589139e7c6f3b7597d3ac21ac015ad2f7eec,9,0,0.526259
96,validation,There is no rope being climbed by a man,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",0.52924144,There is no rope being climbed by a man,7b42a7aed836477c8cdb6ba8bb2a1df062eb3108fe2c05916516d736502edccf,11,0,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",fbddaa7ecee16fca36c7a9b1dc1653774ac15cc970574fcf049cc228adb01b99,25,0,0.5292414
98,test,"after all , they have recommended policies that politicians or taking into consideration .",There are no people driving ATVs,0.5302551,"after all , they have recommended policies that politicians or taking into consideration .",2579ce20401c8f7356cafa7f5c532382fd778342426e16445915a4e74d0f5891,16,0,There are no people driving ATVs,5474167e39ef3edb0b6822c175abf85cb7b9213e482da31bd35c98f24b055b0b,8,0,0.5302552
100,search,"you just have to base your answer on what you do know , which is what you want .",A boy is eating a cupcake,0.5312677,"you just have to base your answer on what you do know , which is what you want .",1060b405ece1a2b520dc3c94e9c8c480a2dc93734a0f058c244831e96c4df9df,21,0,A boy is eating a cupcake,266b191642fefe7be3fc209e80a0f8005f9d95105cb0f4e2f584deca33065bca,7,0,0.53126776
101,search,several different ways have been developed of calculating these values ( also known as term weights ) .,There is no girl in pink twirling a ribbon,0.5318359,several different ways have been developed of calculating these values ( also known as term weights ) .,4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,22,0,There is no girl in pink twirling a ribbon,7e1def45aaa09234ef42d43092f58d167fe848f5cfea6a8e02d8e8918de7036b,13,0,0.531836
117,search,your top 10 flu questions answered,ukraine will not give ' an inch ' over crimea,0.54014117,your top 10 flu questions answered,04213ed15da91a7124a4da9c5b2a814f006b5b7e68c430fa568319bc1882f553,6,0,ukraine will not give ' an inch ' over crimea,ac3f64d5b913f4825dfb60b54463f787a971562e220c3430946c6416a81e675c,16,0,0.5401411
126,search,"several different ways of computing these values , also known as ( term ) weights , have been developed .",A boy is eating a cupcake,0.54481316,"several different ways of computing these values , also known as ( term ) weights , have been developed .",0dabfc6a5de663ac63cf8964d79e66ce92918b9db0a2ab7f7cfdda14963c998c,25,0,A boy is eating a cupcake,266b191642fefe7be3fc209e80a0f8005f9d95105cb0f4e2f584deca33065bca,7,0,0.54481316
129,test,a quantity of money added to a bank account,There are no people driving ATVs,0.54632986,a quantity of money added to a bank account,57b053af4233d05f6ab5c5a0382d759b012134e0d06e9ed63bd7f7a6617d9d07,11,0,There are no people driving ATVs,5474167e39ef3edb0b6822c175abf85cb7b9213e482da31bd35c98f24b055b0b,8,0,0.54632986
130,test,the perception of spain has changed dramatically with this government,No motorcycle racer is riding a red and black bike,0.54685324,the perception of spain has changed dramatically with this government,945b8dfaf06627e0c78d189b248065afa6ebb1ddeae2b27819e48ea8f7e3ba26,11,0,No motorcycle racer is riding a red and black bike,827fdfc9df71143396a8f033fd314a27f286cb6c94d18ed9f6d74dca60c4ccfa,12,0,0.54685324
137,search,"the international atomic energy agency has no access to people , documents , sites .",generate the optimal solution of these computed values,0.5505186,"the international atomic energy agency has no access to people , documents , sites .",da0f9a1cceaf9afd3dc8b424c9b2208ef3b6db746480f91384f1b86322741239,19,0,generate the optimal solution of these computed values,f2769c2bf526800b7512aa0bd4ed63291559bd6f17b8efd7d91976b9cf58328a,9,0,0.55051863
139,validation,There is no rope being climbed by a man,I guess it depends on what you're going to do.,0.5515502,There is no rope being climbed by a man,7b42a7aed836477c8cdb6ba8bb2a1df062eb3108fe2c05916516d736502edccf,11,0,I guess it depends on what you're going to do.,49d73bd75c712c77e8d9238edd37360da41ec8fb7b836b1560bd652e846e2b0f,13,0,0.55155003
141,search,"the international atomic energy agency has no access to people , documents , sites .",The woman is drinking lemonade and watching T.V.,0.55259573,"the international atomic energy agency has no access to people , documents , sites .",da0f9a1cceaf9afd3dc8b424c9b2208ef3b6db746480f91384f1b86322741239,19,0,The woman is drinking lemonade and watching T.V.,6c4a770b5d9d06956e3624955cf61b1ef2ec5e0f772f5207d4d70af504a0d332,13,0,0.55259585
143,search,A woman is falling off a horse,generate the optimal solution of these computed values,0.5536472,A woman is falling off a horse,3e85377ee982afecf6fedfb0d0f400dd149b26555d20ed55b7e314d162e2f356,8,0,generate the optimal solution of these computed values,f2769c2bf526800b7512aa0bd4ed63291559bd6f17b8efd7d91976b9cf58328a,9,0,0.5536473
149,search,The companies said Idec holders would own about 50.5 percent of the stock of the combined company.,A boy is eating a cupcake,0.55674136,The companies said Idec holders would own about 50.5 percent of the stock of the combined company.,a8bc102acaed5a5a5c7190e1bd8cbbefc038278b578b72cde91c3d154a6e8459,21,0,A boy is eating a cupcake,266b191642fefe7be3fc209e80a0f8005f9d95105cb0f4e2f584deca33065bca,7,0,0.55674136
152,test,staff writers brandon formby and colleen mccain nelson contributed to this report .,There are no people driving ATVs,0.5583039,staff writers brandon formby and colleen mccain nelson contributed to this report .,75678df41fc7de803087a43dde90217e5744b82f48e8cc520699b1934e6a0cd8,24,0,There are no people driving ATVs,5474167e39ef3edb0b6822c175abf85cb7b9213e482da31bd35c98f24b055b0b,8,0,0.5583036
154,search,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A woman is water skiing.,0.5593561,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",ef976f2b7592e20ca34992114bb94a8dc3a83ba33a9f51d17d2616fd196a4954,20,0,A woman is water skiing.,08c35c4fac722e121e36492c293c26a9751233e65fed2adc2bcd0a584b1f7683,6,0,0.5593561
158,search,this means that inheritance is used when types have common factors and these would be put into the superclass .,There is no brown dog standing in the water,0.5614227,this means that inheritance is used when types have common factors and these would be put into the superclass .,a931b5a39ceb36a04d71fe04d4e742a0ecfa092db59ced2589d8f12e20457efc,22,0,There is no brown dog standing in the water,322d6641e41976d436a4ca6f4902a73a1f736bf9042da8f47214b4029e070b2c,9,0,0.5614228
160,test,the new zealand commerce commission had given westpac no indication whether it would have approved its deal .,a girl is jumping .,0.5624697,the new zealand commerce commission had given westpac no indication whether it would have approved its deal .,d68b24e5f4f36dd80f9fdafd6ba770a718091bd1e0bfd151b09b98d28a0c4391,23,0,a girl is jumping .,c9295234f1b4144810ca766bca3e8358e30f926dd9d4a9926109cecf9bbebf75,7,0,0.5624698
161,search,iran is an islamic republic .,A boy is eating a cupcake,0.5629925,iran is an islamic republic .,6bd0c6a5213fefc2eb18af718889771a8022023760b829ac692e45140f3c3fab,11,0,A boy is eating a cupcake,266b191642fefe7be3fc209e80a0f8005f9d95105cb0f4e2f584deca33065bca,7,0,0.5629925
163,test,warmed.c from the year prior .,There is no dog jumping at a shiny blue soccer ball in a field of dry leaves,0.5640355,warmed.c from the year prior .,12d2350b50156c1adc66a9746976b9e75dfa5b8657e089c9a339807d6c9b19ed,10,0,There is no dog jumping at a shiny blue soccer ball in a field of dry leaves,ba4ce295f4fa204a94a5b5e247c257fa857ddaa0e914efa6c633c7fe45d483a5,19,0,0.56403553
167,test,"ambient conditions of temperature , precipitation , windiness , and sunniness pertain at a certain place and time. further specification of the conditions that pertain may also be indicated .",There is no woman using a sewing machine,0.566111,"ambient conditions of temperature , precipitation , windiness , and sunniness pertain at a certain place and time. further specification of the conditions that pertain may also be indicated .",2cf57a8b85b694f6d5e72eaf267d07954fe00e5cf8796a30400ab6c64d336bdc,40,0,There is no woman using a sewing machine,e6b0ed131046de9085670584ce21fcadc3d7214f2023ae391a2ef18879390dfe,9,0,0.56611097
168,validation,a boy is playing guitar .,the health department spokesperson added the department is following centers for disease control protocol .,0.5666407,a boy is playing guitar .,9f68e621d50ae012d4eefeaff4ae226436859b3987b19f32fd570d07e34fb4c0,8,0,the health department spokesperson added the department is following centers for disease control protocol .,d4c86f5f517ba78b8ec89e885a0890c5811879fcd760fdc944c18cb3f975e068,16,0,0.56664073
169,search,The man is pouring some oil on the tomatoes,ukraine will not give ' an inch ' over crimea,0.56715435,The man is pouring some oil on the tomatoes,7a37762e0ca76575208c3c2b37cfc08c6b94d20fb78d17cfc0514f9a1828897a,10,0,ukraine will not give ' an inch ' over crimea,ac3f64d5b913f4825dfb60b54463f787a971562e220c3430946c6416a81e675c,16,0,0.5671544
171,search,: - <unk> hmv gone into bankruptcy equivalent ...,Two dogs are playing on a sandy beach,0.56819224,: - \ hmv gone into bankruptcy equivalent ...,b8e0e4f3e95ae90f32428f5746e80cf59843fde33e2344b038245373895d4846,16,0,Two dogs are playing on a sandy beach,10f6f3a731d5329ab9f1e52f3496589139e7c6f3b7597d3ac21ac015ad2f7eec,9,0,0.56679654
172,search,There is no person riding a jetski in the waves,"this frame contains transparent nouns ( and some adjectives ) denoting quantities of a mass or of individuals. as opposed to aggregate words such as group , set , these quantity do not have a status as wholes on their own. initially , at least , we annotate both quantity of masses and of individuals in this frame , though we may split the frame along these lines later on .",0.56870687,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,"this frame contains transparent nouns ( and some adjectives ) denoting quantities of a mass or of individuals. as opposed to aggregate words such as group , set , these quantity do not have a status as wholes on their own. initially , at least , we annotate both quantity of masses and of individuals in this frame , though we may split the frame along these lines later on .",cb60ee12d672fe4aa0b614eeb2a7a61c82b87d07385f52fab364829358e1acf7,90,0,0.568707
175,search,<unk> ä<unk>glee <unk> äô star cory monteith found dead in hotel room,"i 've only made a couple of bbq sauces , but they 've always come out really well .",0.57027036,‚ äėglee ‚ äô star cory monteith found dead in hotel room,768d8d0d326bace6400ff635089034f89b6b9afd8010b2b0cfdc725975a480b4,24,0,"i 've only made a couple of bbq sauces , but they 've always come out really well .",cd33f3d4f395713a9acf2254fce1f71b339bc1fd73ef2ae77e3d75ca8e3876f7,31,0,0.5709905
177,search,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",There is no man dressed in black wearing an elaborate black mask,0.57130677,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",ef976f2b7592e20ca34992114bb94a8dc3a83ba33a9f51d17d2616fd196a4954,20,0,There is no man dressed in black wearing an elaborate black mask,3d4eba992d51588c5e853e2c4d75d9fdabbef9756f28e316e9f6fef48e045d81,12,0,0.5713068
181,validation,regulate or set the time of ( a clock ),There is no kitten drinking milk,0.57338876,regulate or set the time of ( a clock ),8a765c4f7a437a9f3199b54199e6950d2d535c5c86973137de0ee255e0069804,12,0,There is no kitten drinking milk,5865f289ba8d06c9d93bcb24770c728d6c31468edeb469f5a2855d42d3735796,6,0,0.5733886
182,validation,This answer is based on my experience teaching undergraduate math in the US.,A man is performing a trick on a bike,0.57391405,This answer is based on my experience teaching undergraduate math in the US.,02eefe7a2ab0de5b40d5eea17184f3a4d1d0eafd8cbdc50674898a463274b370,15,0,A man is performing a trick on a bike,745e8ebd4c5d6886f0f58ea702c982484420d920694ae67b79b51ccaee9c5315,11,0,0.5739143
183,validation,he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully .,There is no kitten drinking milk,0.57443094,he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully .,096c8e665b4264c552edb1b9a1efe3322b7a14055bf47e8f5e41188d78a77849,22,0,There is no kitten drinking milk,5865f289ba8d06c9d93bcb24770c728d6c31468edeb469f5a2855d42d3735796,6,0,0.5744308
185,search,There is no girl in pink twirling a ribbon,"the offer is also subject to goldman signing an agreement with drax 's senior banks , senior bond holders and hedging banks by sept . 30 , it said .",0.5754696,There is no girl in pink twirling a ribbon,7e1def45aaa09234ef42d43092f58d167fe848f5cfea6a8e02d8e8918de7036b,13,0,"the offer is also subject to goldman signing an agreement with drax 's senior banks , senior bond holders and hedging banks by sept . 30 , it said .",f47f809e8e704182b792fd2c0d8c508b3a4be89688d1f7d8403feda17a130160,41,0,0.5754696
187,validation,This answer is based on my experience teaching undergraduate math in the US.,A man is quickly chopping some mushrooms with a knife,0.5765076,This answer is based on my experience teaching undergraduate math in the US.,02eefe7a2ab0de5b40d5eea17184f3a4d1d0eafd8cbdc50674898a463274b370,15,0,A man is quickly chopping some mushrooms with a knife,d62f2116b177f56b631570e77c0fee0250e66979a2e08c55cc82eed1d5e01891,13,0,0.57650745
190,test,a man is sledding on an orange slide .,they would give the right to divorce the husbands who would have abandoned them ?,0.5780655,a man is sledding on an orange slide .,610a4576f6734a85c0ce88bcbdc729a3e6e714b9c4eb32272da01aa83def45ef,14,0,they would give the right to divorce the husbands who would have abandoned them ?,70d912a63cb47eb0f7238cdf5efbfb261482be88fc13b3be6c6d4c681e7b9095,17,0,0.5780655
192,test,A child is not playing slip and slide in the grass,serve as a reason or cause or justification of .,0.5791089,A child is not playing slip and slide in the grass,3f6a55550fd24f39b1b329cce2b8ce9d95572dda15f0f2c3206910eb35cf1c96,11,0,serve as a reason or cause or justification of .,5033ac81ed04c08605564e71948a891c3ce80f4914f09c2842f735e5f4a52a8f,13,0,0.579109
195,search,The little boy swung at the golf ball.,thai political protests paralyse more ministries,0.5806675,The little boy swung at the golf ball.,c57556bcae4a2f15829928eb1fbf27d6a2f85700a4ec6623d881d3960cafe6fc,12,0,thai political protests paralyse more ministries,95577a8b354f4d396d5900e4a7303c86e65ecc60c162eb71a78041db89e7e1f5,13,0,0.5806675
199,search,both components need to be in closed paths .,A boy is eating a cupcake,0.58274907,both components need to be in closed paths .,9b058a66f3a4eca204b5a829ce62681baf04815b1344c3ae585afcb6f1a52bd6,10,0,A boy is eating a cupcake,266b191642fefe7be3fc209e80a0f8005f9d95105cb0f4e2f584deca33065bca,7,0,0.582749
203,search,Two dogs are playing on a sandy beach,four women and two men sit at a long table in a restaurant .,0.5848283,Two dogs are playing on a sandy beach,10f6f3a731d5329ab9f1e52f3496589139e7c6f3b7597d3ac21ac015ad2f7eec,9,0,four women and two men sit at a long table in a restaurant .,165bbb51b45e82d2ee6e54538cb4f68f81bd50ad7cfb214e5d65a7f1ad85a8d2,17,0,0.58482826
204,search,Some guy sitting on a couch watching television.,ukraine will not give ' an inch ' over crimea,0.58534586,Some guy sitting on a couch watching television.,6af3ddfff2ac4e9212cd8a5e005a90869918f202e0cd4acc7a8fa0690a156e42,10,0,ukraine will not give ' an inch ' over crimea,ac3f64d5b913f4825dfb60b54463f787a971562e220c3430946c6416a81e675c,16,0,0.5853459
