sentence_id,text,normalized_original,source_row_first_seen,source_cluster,source_cluster_distance
10f6f3a731d5329ab9f1e52f3496589139e7c6f3b7597d3ac21ac015ad2f7eec,Two dogs are playing on a sandy beach,Two dogs are playing on a sandy beach,90,5,0.57498616
1435d048d13d1d00ef07757622416cd37a142de23b93ab08e67f67b5a717a0eb,to catch in or as if in a trap ; immobilize,to catch in or as if in a trap ; immobilize,555,1,0.46819943
147524a26f0cfe5244756cc6f704e2228449b39f82c31834c9ffa045bf466774,a large passenger jet flying close to the ground .,a large passenger jet flying close to the ground .,924,5,0.54368126
165bbb51b45e82d2ee6e54538cb4f68f81bd50ad7cfb214e5d65a7f1ad85a8d2,four women and two men sit at a long table in a restaurant .,four women and two men sit at a long table in a restaurant .,203,0,0.57618403
170c93930185ee6cdab21ad28745643c8eff966c3e0b86dc2ba7cbc95f598f8b,car bombing kills 53 in damascus,car bombing kills 53 in damascus,600,4,0.48358688
17dff8993bb67556e367e65dc4a09ae1bca1c2485d5ff079fe75dff2c34d8e75,A skunk is looking here and there.,A skunk is looking here and there.,573,5,0.49834886
1918c1e38a76379ee9e02052e97a47abb48b0e4600305c2ebd15c19fc979f9d8,police stated that-- chung has been on the run .,police stated that-- chung has been on the run .,396,4,0.5756164
1ad08e0f98a9d13e7e01364157530a04251226910e58ab81eb296e17461394f3,a man sits on a bed very close to a small television .,a man sits on a bed very close to a small television .,757,0,0.53481907
1c53b6795e0f7b29d6b26f32af2c46b2670949667153f98800ac0e88ccceab28,A dog is missing the ball in mid air,A dog is missing the ball in mid air,360,5,0.52829176
1cc1ca73b17eb5156b307df04c67f24481e2f17038a741bac10e246d981e0520,south african icon nelson mandela hospitalized,south african icon nelson mandela hospitalized,330,4,0.52630264
1f913b4aab4764734adb95fcbdac8b7f35e101d23fe7632f604171332a3cc2a1,A man is massaging a woman,A man is massaging a woman,627,0,0.5451119
20cac860c1eca2449a8731dea6cb3daf920dcd8c51cf5f08821a26c6d36f5169,a man is applying butter to bread .,a man is applying butter to bread .,465,0,0.5726652
20fb833d7680f5f9d8ea92104f178df4e1852a3969be5fa1b4872546f22ac956,government initiatives to disarm have been ineffective .,government initiatives to disarm have been ineffective .,516,4,0.6034619
21bff9a7afe9a771dddcbb459fe77174c70e920dcff3601c61e0379a5de0fe38,a small white and brown dog is jumping over a horizontal pole .,a small white and brown dog is jumping over a horizontal pole .,232,5,0.5188152
22afb7781df9fa80d3896b5c23e3f87b8e4ba83f18955afc57022dd8824de90e,the activity of supplying or providing something .,the activity of supplying or providing something .,677,1,0.5168205
25463ba033ddb56e4e6e6f7e1ef320d2235a1d84ead9461adae14e807870608b,a man and a woman walk through the woods .,a man and a woman walk through the woods .,693,0,0.6033116
256c7840743621eb450af7326c685e68f0c57fda819afdcf0e395b7f32a4561e,"change the key of , in music .","change the key of , in music .",317,1,0.5420464
266b191642fefe7be3fc209e80a0f8005f9d95105cb0f4e2f584deca33065bca,A boy is eating a cupcake,A boy is eating a cupcake,56,0,0.6819774
26c3fa7618bd7b05a9d85e16d987fc5fd2cdb46df456503e3b2daed0335339d3,"more than 10,000 people , most of them civilians , have been killed in three decades of insurgency .","more than 10,000 people , most of them civilians , have been killed in three decades of insurgency .",600,4,0.50731736
26d9b2c95439a61826b22acd6393c068f501ca866deaa948c4e695f9a93440a5,a man and woman are talking .,a man and woman are talking .,627,0,0.50509155
283e24e33f814bc5c831493fc51e141e622d31426caeb99b9720e220a9e97cba,a mostly black train on a track .,a mostly black train on a track .,263,5,0.5384774
2984f5e1f8b0f604a8f9a5f208cfe26ce9c386226ec8d656a6e7a815ec8adadd,a man is making a speech at the podium .,a man is making a speech at the podium .,234,0,0.6159153
2a6a3e0ed0070a8f5eb161cbad04756b82600ede73699ac7b6657fe30d9be7b1,blast kills 10 young girls in eastern afghanistan,blast kills 10 young girls in eastern afghanistan,815,4,0.47386965
2b8709d53dc600c9aeb01512f8268393b232b7a486da494a3174137eea65150c,"tragic . my thoughts and prayers go out to all ... "" at least 220 killed in brazil nightclub fire ""","tragic . my thoughts and prayers go out to all ... "" at least 220 killed in brazil nightclub fire """,577,4,0.46281543
2b9ea3e61aba3204641580469d3285425b0296027deb61706ac34d9637b03617,a solid piece of something ( usually having flat rectangular sides ) .,a solid piece of something ( usually having flat rectangular sides ) .,555,1,0.53241104
2cf7a7600ad747406442882cb3543362e4f5e916529ce97e582f3d1c79319d42,a black dog looking at the camera .,a black dog looking at the camera .,870,5,0.49019969
2d0339d1b0c652bfdd6efc238ca240e69fece090e3cf23f94a833ab2110f5b75,The boy is not playing the piano,The boy is not playing the piano,307,6,0.446543
2e423eca8f84d88d5f8058e296a9c01a210b5b6f906f5715aa76a01864424258,"about 22 % of twentysomethings are obese , which is roughly 30 pounds over a healthy weight .","about 22 % of twentysomethings are obese , which is roughly 30 pounds over a healthy weight .",317,7,0.6280357
2ef82234a69806b5d40f7a1808cb0c28a287d6b0a97e66077f3a1cd23c4e5160,The boy isn't playing the piano happily,The boy isn't playing the piano happily,457,6,0.5753646
2f0eaa4b14647f96f0e7e69c8cf7ed7c0c09c8fb28f7e54bdad76ab4a4f4f260,utter in a certain way,utter in a certain way,862,1,0.42433983
2f70ea4925424275174982bcf2c7ca82fd89613e88696201b9d9ef4fc369e35f,photos : fires across australia,photos : fires across australia,205,4,0.53884566
3118586f77ebde85d1d82f876c232d471eef69f6063122a2fba6f61381b4257c,death toll rises in russia plane crash,death toll rises in russia plane crash,623,4,0.46439853
3171f638b3c2599cab260b99481490e91080ef1066224dfd388be22756609b69,"shares of tampa-based outback steakhouse inc. closed at $ 44.50 , up $ 1.78 , or 4.2 percent , on the new york stock exchange .","shares of tampa-based outback steakhouse inc. closed at $ 44.50 , up $ 1.78 , or 4.2 percent , on the new york stock exchange .",730,7,0.4305489
31bf27c92483700627d32d78fd3042d7e7e19b5418795b71509b4ebdba68532f,"the u.s. , other western nations and nato condemned the violence .","the u.s. , other western nations and nato condemned the violence .",288,4,0.5397721
322d6641e41976d436a4ca6f4902a73a1f736bf9042da8f47214b4029e070b2c,There is no brown dog standing in the water,There is no brown dog standing in the water,58,6,0.4533767
327144689b652cfe1706cd70ad2225d876f567bb21511294a0ea5c1bae78b713,extend in a different direction .,extend in a different direction .,756,1,0.45174542
3511a2e367073c1150b3d59182e4b21bf7452c677b2f2f454a635cd6bd82d9c3,a man and his bicycle laying down on the green grass .,a man and his bicycle laying down on the green grass .,332,0,0.5644688
36487751d5a5f3dd7fe01e22766d3e4cb682f2e9f2a7181fb3aa937dd1916a97,bulb b and bulb c were still contained in the same closed path with the battery .,bulb b and bulb c were still contained in the same closed path with the battery .,858,3,0.37892407
38fcf626e358951556db9e3c3fbbdc2e45f05285a4ded378171861e49539fe2f,"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.","The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",334,7,0.49434566
3a44bdf6e2e905da4c1af5cb68d324bd40d45a0f067bd13dea58bb043b8fd5aa,"Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.","Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.",378,4,0.51414835
3c827e36af6e4d44eb1f5578c88e82d01081e8a3e943b7def5ea5a6a2e17a8d4,a black dog is chasing two birds on the shore of the ocean .,a black dog is chasing two birds on the shore of the ocean .,573,5,0.49663422
3d167e75e9c7ef556894b24470d3eff77f05dbfa0203bd59dfed35b2cdf1ce4b,guatemala 's former leader found guilty of genocide,guatemala 's former leader found guilty of genocide,305,4,0.54578215
3d4eba992d51588c5e853e2c4d75d9fdabbef9756f28e316e9f6fef48e045d81,There is no man dressed in black wearing an elaborate black mask,There is no man dressed in black wearing an elaborate black mask,177,6,0.5512454
3e85377ee982afecf6fedfb0d0f400dd149b26555d20ed55b7e314d162e2f356,A woman is falling off a horse,A woman is falling off a horse,143,0,0.615482
4143451479d43960e67fc8e57844ec2337797b47ffb80c8fd35d058ddac2b4b0,equatoguineans vote in legislative polls,equatoguineans vote in legislative polls,440,2,0.5153393
41ce253777209895b689b16293887113fbac20d7097458d5bb575deee9743522,pussy riot verdict greeted with defiance,pussy riot verdict greeted with defiance,374,4,0.5615196
421339f41dfc63a5e8c990658169349de1d8dd4d719d35f84b044f72ffd0b6f2,it is safe to say that body posture plays a big role in all languages .,it is safe to say that body posture plays a big role in all languages .,252,1,0.5893885
449eac35b438c64da6198019ee504d7f2ed6c988247384cd74251591432207cf,Some women are sitting together near woven walls,Some women are sitting together near woven walls,279,0,0.607293
4ad8cef25aed4e2f223e0f70278cfa41ed0e2edab0d9944248ad3d1d14d4c88c,what makes india vote ? jaipur lit fest debates,what makes india vote ? jaipur lit fest debates,506,2,0.53171647
4da7d5ba84da2d6482b2aeef2b16359e271deca8235e559360eec6ab5b1b5554,"nicaragua , venezuela offer asylum to snowden","nicaragua , venezuela offer asylum to snowden",284,2,0.5562405
4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,several different ways have been developed of calculating these values ( also known as term weights ) .,several different ways have been developed of calculating these values ( also known as term weights ) .,10,2,0.5824147
4f8fc52746644eda9b284054732a10c9280fee8cd00be7b168e7a7f34f7bf079,a black and white photo of a cow under a tree.,a black and white photo of a cow under a tree.,883,5,0.50551057
50235d40341deec8823f337bea76464b17f0bb0b3886a9cfae4f500c3e0c8ce2,the united states and other nato members have refused to ratify the amended version until russia withdraws troops from former soviet republics moldova and georgia .,the united states and other nato members have refused to ratify the amended version until russia withdraws troops from former soviet republics moldova and georgia .,232,4,0.6113594
509ae5b8477fba9a8190edd0e4506265589aa78553762fc4c07870f21dde6a79,"under the agreement , medicare coverage for drug benefits would begin in 2006 .","under the agreement , medicare coverage for drug benefits would begin in 2006 .",230,2,0.55491847
5170a8aad0ab04d7d2b79d1dfb1a4ad9ae1ced3908a91d576ad8a840d09ee5c0,"Bangladesh collapse search over; death toll 1,127","Bangladesh collapse search over; death toll 1,127",420,4,0.46693143
51d17beef57195baefd67052f8bb3c04feeb6809dbb8aee06d7cecad9541a1de,knox county health department is following national centers for disease control and prevention protocol to contain infection .,knox county health department is following national centers for disease control and prevention protocol to contain infection .,336,2,0.5660623
523957ed593149cc54eaa57f9a665b6b98648ef64e74d30c7ab1af8f18069941,parent is defined as a point of origin . i 'm not done being the best parent i can be for ben . not by a very long measure,parent is defined as a point of origin . i 'm not done being the best parent i can be for ben . not by a very long measure,289,1,0.5841134
5319cebcbd8b55984a1ab38e06729868490fc2279afb86b79d0dcf9935a84fd1,because terminal 4 is connected to the positive terminal but not the negative terminal,because terminal 4 is connected to the positive terminal but not the negative terminal,710,3,0.4354995
5482c2427175712a30b81553dd6d35af6d90586804ecdfa35a840cea706cb6e1,be fully aware or cognizant of .,be fully aware or cognizant of .,512,1,0.492276
577981d8aa48c08ffce1f21f0a56c8980aed0ac25b5d2a37c9dac10418e0c4df,A person is spreading butter on a tray,A person is spreading butter on a tray,842,0,0.55506074
57a6c1c0b0beb0149817a1fd85969ed67f4250278445926136c126248d387038,The bride and the groom are arriving after the wedding,The bride and the groom are arriving after the wedding,331,0,0.5589495
588dad85b9e885f3b3e2a34b567e9acbf3568e6b5a3fbd23567984e6c39d6a8a,"he was listed last night in critical but stable condition at kings county hospital center , police said .","he was listed last night in critical but stable condition at kings county hospital center , police said .",586,4,0.5701511
58c180e2531e1cdadabb286c193d53acf56d00a7e07678e6d85c4027b3ce1022,the territory occupied by a nation .,the territory occupied by a nation .,551,2,0.4929554
5a0f868822fc9c3ef5b1b35b83c1119b64b03664f08a23ff4eadf2b467cda104,tokyo stocks close 0.75pc down,tokyo stocks close 0.75pc down,751,7,0.4318939
5a43174c33fadee2eb47f7808821e5b040ad1f809f84d1ae9978973035e1d474,Two kids are looking up at the camera and one is sticking out his tongue,Two kids are looking up at the camera and one is sticking out his tongue,459,0,0.61136353
5ac7fd4ee2d6c68a11ed244d59b5711a156b9ce8c5d27a0ede154b87e4299cb7,a ginger and white cat curled up and asleep on a leather chair .,a ginger and white cat curled up and asleep on a leather chair .,783,0,0.61678046
5acdc404f4520cf6d6441a592bac31c948772f8c0f46ae2084b70af94d380077,extend out or project in space .,extend out or project in space .,521,1,0.49791554
5d15005085346b3227033589c7d17db5797b21635e1551a4b3d3cfc81dc750be,briton killed in algerian gas field attack,briton killed in algerian gas field attack,645,4,0.45031762
5fa6710a1fb4b77c3c342deb98f5eb18b52dd8379f8e8c9f9eb7d5df0e76d9f0,No girl with a bikini is playing in the dunes,No girl with a bikini is playing in the dunes,12,6,0.46765536
601e93ab31aec3b6cc3da07b623c5316776cc8c39d34507fbaced9aba1c018bb,bulb b and c are on a closed path to the battery,bulb b and c are on a closed path to the battery,486,3,0.32563144
60d894519f4003eb4ef37d7bb5ae3227faa3d45e10710d9e59699ebdaa550d10,8 soldiers killed in bomb attack in NW Pakistan,8 soldiers killed in bomb attack in NW Pakistan,671,4,0.4425165
61096ab36d6caab8743a11efb82329fcd464f649b48100b9a684f1cdbfad28e4,female film directors slowly gain ground,female film directors slowly gain ground,354,2,0.61737216
62a1ed512692903eff0d70c94cc5f2a49263adacb02dc736ed56fdc2b4d4c703,sunday times journalist marie colvin killed in syria,sunday times journalist marie colvin killed in syria,226,4,0.47331655
63c14c43926fc0670785f912d948cf074ad306556b57d4d4b7958d2c46a9fc7c,the black dog is running on the grass with a toy in it 's mouth .,the black dog is running on the grass with a toy in it 's mouth .,221,5,0.4753275
640b92a028555b305828c1fd39c8cc37cf768859005d7ee84abbd5dde41e330b,two people are walking through some water .,two people are walking through some water .,502,0,0.6014651
6493fbc00b5400c86a0838e449d7a41569f8ddf579d0cb6aaad9389317dbb6ae,chinese shares close lower on wednesday,chinese shares close lower on wednesday,751,7,0.4050731
66a98674a7951860264a2dafdd7a4789d264408ffaac71f654dd88940928a690,( cause to ) move gently back and forth,( cause to ) move gently back and forth,471,1,0.45925987
6722820342ab85f03b9c997e74aa09956a7c18ca1b1c522f177d7fa56833f92f,express audibly ; utter sounds ( not necessarily words ) .,express audibly ; utter sounds ( not necessarily words ) .,552,1,0.47818387
678bfebb236ac989a515fd81913803732efe5113b3f064061086c20f008a1023,pakistani girl shot by taliban appears on video,pakistani girl shot by taliban appears on video,531,4,0.4851641
69820a65e21337e65743991db29d108ab71a939fcde1c66927494c380e57ccd1,a das air cargo plane sits on the runway .,a das air cargo plane sits on the runway .,287,5,0.55745035
6af3ddfff2ac4e9212cd8a5e005a90869918f202e0cd4acc7a8fa0690a156e42,Some guy sitting on a couch watching television.,Some guy sitting on a couch watching television.,204,0,0.5981643
6b2ce16c17c2ad45bfdfc4cc88f2dfe2b60ab7cfee0a565b9a93ec7013c8240d,"his aides warn an abrupt departure could trigger more bloodshed , a view shared by many in liberia .","his aides warn an abrupt departure could trigger more bloodshed , a view shared by many in liberia .",954,4,0.4907337
6bd0c6a5213fefc2eb18af718889771a8022023760b829ac692e45140f3c3fab,iran is an islamic republic .,iran is an islamic republic .,161,2,0.558145
6c35967a83869467d43c321593ea90e97c074986ee374f8be5220bf16e839c5e,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,378,0,0.5478007
6c4a770b5d9d06956e3624955cf61b1ef2ec5e0f772f5207d4d70af504a0d332,The woman is drinking lemonade and watching T.V.,The woman is drinking lemonade and watching T.V.,141,0,0.66584545
6cb7a22db99e3c357fffc14cf1f32b4075da07a3081e1e71c2a3fa1acdd14960,restart or continue an activity after an interruption or pause,restart or continue an activity after an interruption or pause,401,1,0.5131708
6cba4d1e94a613476316d8d57f2c7f8cde69fbd8956a6e44f76e1e69918a8dd3,"abide by : act in accordance with rules , commands , or wishes .","abide by : act in accordance with rules , commands , or wishes .",301,1,0.49816197
6d98f5472374771dbbe4096c91030219fc471363bd7c28d38b4e761ce379245d,A cat is not crawling under a piece of furniture,A cat is not crawling under a piece of furniture,302,6,0.5491306
6dcd9bd11993b1cc7af8a24aea541101a09f6a2ff8662b356ffd105bc7482ef4,bomb kills three in northwest pakistan,bomb kills three in northwest pakistan,818,4,0.4722548
722e6e178e1f8c7d82bbb22319901537bf68d30fd2a16e2f168a359fcfd052e7,your worry is a valid one ; the reader could be frustrated by this .,your worry is a valid one ; the reader could be frustrated by this .,583,1,0.51367563
72798b71adba3226c4759e2812115791cb72502dfeb5669b37ffa2932cd299d8,A little girl with blond hair is smiling and sitting on a swing,A little girl with blond hair is smiling and sitting on a swing,930,6,0.5931894
72a66e8ff41c5459ed549f37cb4b38fb0abd0b9be3519d2a8abf3d7746783c11,a group of boys are playing soccer on the beach .,a group of boys are playing soccer on the beach .,240,0,0.66591465
73a7dd1215b229e046878bae1d90327e5fbb0e2e1a9c9b11121ccc30d428ef0b,a dog jumping into a swimming pool .,a dog jumping into a swimming pool .,893,5,0.53959733
7554ee7d004f1641b72818189d9d7944485133aabea7b8abfcc9ca020a1c0b50,dealbook : british retailer hmv enters equivalent of bankruptcy,dealbook : british retailer hmv enters equivalent of bankruptcy,221,7,0.49636656
76813c35268d5a8c38115d85702151ff715cdd82cbde84c89ad7e1c35de00390,new zealand votes to legalise same-sex marriage,new zealand votes to legalise same-sex marriage,539,2,0.5701492
768d8d0d326bace6400ff635089034f89b6b9afd8010b2b0cfdc725975a480b4,<unk> ä<unk>glee <unk> äô star cory monteith found dead in hotel room,‚ äėglee ‚ äô star cory monteith found dead in hotel room,175,4,0.54702663
76aa9278ffd50ca9b5b0cc3ebdf3a5785129471489c69c4fc2eec4ff6e75efde,"talk or behave amorously , without serious intentions .","talk or behave amorously , without serious intentions .",342,1,0.51265895
77ac9d38ddb85b70d58bbd67fca83d60df37ce9090f4b671e127b6848647573a,could be a lot of things .,could be a lot of things .,583,1,0.5180779
783ef98670541baedab958893071c631995fca8deb77868665531857849c78e8,A man with a backwards hat is sitting on the ground,A man with a backwards hat is sitting on the ground,251,0,0.5669637
78b533067437c15dd694cb5e45c631a285ffb9cb69c4df92d2a2e325350161eb,declining issues outnumbered advancers slightly more than 3 to 1 on the new york stock exchange .,declining issues outnumbered advancers slightly more than 3 to 1 on the new york stock exchange .,730,7,0.4352038
79a605a3e478890d476db29f022652dd9868a68e50795819e050de14f5fe17ff,"under the u.s. constitution , the other chamber of congress , the house of representatives , does not vote on foreign alliances .","under the u.s. constitution , the other chamber of congress , the house of representatives , does not vote on foreign alliances .",474,2,0.6209216
79ff7582e93587c6b52d31895d04ecf313c9ce6e79be59e5047df3047aa0671d,"one man had brandished an english-turkish dictionary and pointed to the word "" refugee "" .","one man had brandished an english-turkish dictionary and pointed to the word "" refugee "" .",465,2,0.54803616
7a37762e0ca76575208c3c2b37cfc08c6b94d20fb78d17cfc0514f9a1828897a,The man is pouring some oil on the tomatoes,The man is pouring some oil on the tomatoes,169,0,0.6046852
7b6fec6c7422d77f32e14f18b5f06c68838a1efdba6b8b2d6a4d264d14ece552,death toll in colorado floods rises to four,death toll in colorado floods rises to four,577,4,0.505121
7cdba18a745ce31b54a782cfa1109a8f67cc8fa83e33f7e2116ddf9fd727e16e,A baby elephant is not eating a small tree,A baby elephant is not eating a small tree,80,6,0.53375936
7e1def45aaa09234ef42d43092f58d167fe848f5cfea6a8e02d8e8918de7036b,There is no girl in pink twirling a ribbon,There is no girl in pink twirling a ribbon,101,6,0.46164638
7e9d8b2de7eddf684615550728cc40cd344b4784ccaf454b9dac79173f3e99e4,cause animals to move,cause animals to move,506,5,0.45337933
80625f5133b68091ab951de91a685a7750bc6410d749e758da64471c8dab4d0a,a black table with white fuzzy chair .,a black table with white fuzzy chair .,712,0,0.5493232
82781392ee19dea728964724d0edc144ddba42bc69e0232fd7841a1349246759,( cause to ) change from a gas to a liquid .,( cause to ) change from a gas to a liquid .,633,1,0.49573165
8841b6f1ecacf21f65cf7e266cf967dd0085fd1f63b238463e705a4a2abd4d4d,if the other bulb is no longer contained in a closed path with the battery,if the other bulb is no longer contained in a closed path with the battery,234,3,0.4212148
887c202aa4ce6bff02b6ad103db9b71fcb20a0c8eed77f59d7fb2d0ef845a0d1,a long train is on train tracks .,a long train is on train tracks .,777,5,0.51196647
8abe97c8ba194af3d3f0c53cb0e59204b8997d3a899bd75ffad8112c48d459ab,a bicycle is parked by a shop .,a bicycle is parked by a shop .,599,5,0.58952296
8c057f7f49d181495afff086841017e624eb2ddbf1aa8f2a671d517ff10cf590,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.","Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",0,2,0.56645244
9026fd6af9bda97689b59705479d762289b7e0fe632e91aff77b387924c1ef1f,the man is playing the guitar .,the man is playing the guitar .,882,0,0.52483577
902ce7f80ad731a0956c2d4cdeb95e327b4e1f508112798855d066fb059cdb9f,a domestic animal stands in a pen .,a domestic animal stands in a pen .,395,5,0.45897818
90b6c89629aa51bc4e9fd51f4a904de92bf7c0a690d6af7c6c7ffb4a5345a5b1,"For the analysis of expression at different stages of differentiation, data were obtained for 43 mouse samples in StemBase , originating from 16 studies with Affymetrix MOE430A microarray chips, as used in an Oct4 expression profiling study covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages.","For the analysis of expression at different stages of differentiation, data were obtained for 43 mouse samples in StemBase , originating from 16 studies with Affymetrix MOE430A microarray chips, as used in an Oct4 expression profiling study covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages.",418,2,0.53555405
921c76b68fbf40615e1564616f22367397d7fb8997330d3b3d58d98042563e40,A girl is not playing the guitar,A girl is not playing the guitar,288,6,0.39196426
92ab795bc4ca4694d775bd5960850f1b969731571fb63ab4419a5e006afe4fa8,The ice skating rink placed outdoors is full of people,The ice skating rink placed outdoors is full of people,899,5,0.6057124
946e3404e4ab063c7eb5d800f1372f77c33d909be39ec002581c3de07c030c17,Nelson Mandela in Hospital for Tests,Nelson Mandela in Hospital for Tests,778,2,0.56394225
